"URL","Link Text","Response Code"
"https://www.ddsdiscounts.com/#main","SKIP NAVIGATION","200"
"https://www.ddsdiscounts.com/","Home (selected)","200"
"https://www.ddsdiscounts.com/store-locator/","","200"
"https://www.ddsdiscounts.com/found-in-store/","FOUND IN STORE","200"
"https://www.ddsdiscounts.com/store-locator/","STORE LOCATOR","200"
"https://www.ddsdiscounts.com/email-sign-up/","Email Sign-Up","200"
"https://www.instagram.com/ddsdiscounts","Instagram","200"
"https://www.facebook.com/ddsdiscounts","Facebook","200"
"https://www.tiktok.com/@ddsdiscounts?lang=en","TikTok","403"
"https://jobs.rossstores.com/","apply today!","200"
"https://www.ddsdiscounts.com/store-locator/?source=&opendate=2025-03-01&searchradius=3000&fromweb=1&limit=35","","200"
"https://www.ddsdiscounts.com/store-locator/","","200"
"https://jobs.rossstores.com/","FIND A JOB
(OPENS IN NEW WINDOW)","200"
"https://www.tiktok.com/@ddsdiscounts?lang=en","FOLLOW US ON TIKTOK
(OPENS IN NEW WINDOW)","200"
"https://corp.rossstores.com/careers","SEARCH FOR JOBS
(OPENS IN NEW WINDOW)","200"
"https://www.ddsdiscounts.com/email-sign-up/","SIGN UP NOW","200"
"https://www.ddsdiscounts.com/found-in-store/","GET INSPIRED","200"
"https://www.ddsdiscounts.com/terms-of-use/","","200"
"https://www.ddsdiscounts.com/privacy-policy/","","200"
"https://www.ddsdiscounts.com/terms-of-use/","Terms of Use","200"
"https://www.ddsdiscounts.com/privacy-policy/","Privacy Policy","200"
"https://www.ddsdiscounts.com/about-us/","About Us","200"
"https://jobs.rossstores.com/","Careers","200"
"https://corp.rossstores.com/responsibility","Social Responsibility","200"
"https://inclusion.rossstores.com/","Diversity, Equality & Inclusion","200"
"https://investors.rossstores.com/","Investors","200"
"https://www.rossstores.com/media/1062/productsourcinghumanrights.pdf","Product Sourcing and Human Rights","200"
"https://www.ddsdiscounts.com/contact-us/","Contact Us","200"
"https://myross.rossstores.com/","For Associates","-1"
"https://www.ddsdiscounts.com/legal-notices/","Legal Notices and Recalled Products","200"
"https://www.ddsdiscounts.com/comparison-pricing/","Comparison Pricing","200"
"https://www.ddsdiscounts.com/sitemap/","Sitemap","200"
"https://www.ddsdiscounts.com/privacy-policy/","Privacy Policy","200"
"https://www.ddsdiscounts.com/terms-of-use/","Terms of Use","200"
"https://corp.rossstores.com/accessibility","Accessibility","200"
"https://www.ddsdiscounts.com/privacy-policy","","200"
"https://www.ddsdiscounts.com/terms-of-use","","200"
"https://www.onetrust.com/products/cookie-consent/","","200"
